Date,Open,High,Low,Close,Volume
2025-01-15,95.31,95.56,93.38,95.25,827
2025-01-16,94.62,95.12,94.33,94.86,821
2025-01-17,94.78,95.79,94.22,95.13,565
2025-01-18,95.11,95.77,92.85,95.05,204
2025-01-19,95.15,95.81,94.24,95.17,182
2025-01-20,94.65,95.32,93.52,93.49,360
2025-01-21,93.37,94.02,93.28,93.37,928
2025-01-22,93.22,93.33,90.66,92.58,937
2025-01-23,92.33,93.40,91.23,92.20,392
2025-01-24,92.65,94.28,92.61,92.81,116
2025-01-25,92.51,93.70,91.65,92.86,760
2025-01-26,92.93,93.75,91.49,92.68,482
2025-01-27,92.84,92.97,92.69,92.31,281
2025-01-28,92.32,94.40,91.23,92.54,850
2025-01-29,92.13,92.63,90.87,93.06,126
2025-01-30,93.09,93.17,91.71,93.37,855
2025-01-31,93.34,94.15,92.74,93.24,139
2025-02-01,92.61,93.46,91.89,92.68,745
2025-02-02,92.79,93.80,92.51,92.17,321
2025-02-03,92.12,93.04,90.30,92.04,370
2025-02-04,92.19,93.21,91.06,92.50,960
2025-02-05,92.73,94.56,92.00,92.92,180
2025-02-06,92.46,94.29,91.53,91.86,855
2025-02-07,91.37,92.15,90.43,91.25,604
2025-02-08,91.29,91.35,91.17,91.19,454
2025-02-09,91.19,91.93,90.52,91.39,641
2025-02-10,91.41,92.17,90.06,91.64,266
2025-02-11,91.06,93.39,90.43,90.36,715
2025-02-12,90.29,91.44,90.14,90.48,726
2025-02-13,89.88,92.49,89.21,90.05,212
2025-02-14,90.11,90.27,89.34,89.67,425
2025-02-15,90.83,92.58,89.17,90.92,728
2025-02-16,91.99,93.06,91.18,92.46,347
2025-02-17,92.29,92.46,90.50,92.89,192
2025-02-18,92.56,93.13,92.25,92.92,813
2025-02-19,92.74,94.95,92.44,92.69,142
2025-02-20,92.57,93.70,92.49,91.90,228
2025-02-21,91.31,91.58,90.96,90.94,592
2025-02-22,91.56,92.98,91.37,92.10,496
2025-02-23,92.69,92.85,92.14,92.34,817
2025-02-24,93.16,93.22,93.06,93.30,624
2025-02-25,93.54,94.37,92.66,93.79,669
2025-02-26,93.81,94.33,93.38,93.58,470
2025-02-27,93.10,94.00,92.01,93.00,885
2025-02-28,93.31,93.59,92.84,93.00,969
2025-03-01,93.45,94.31,93.17,93.29,730
2025-03-02,92.56,93.95,92.28,92.61,902
2025-03-03,93.03,93.31,92.19,93.77,133
2025-03-04,93.16,94.98,92.85,93.04,750
2025-03-05,92.82,93.40,91.61,93.19,678
2025-03-06,93.47,93.93,93.02,93.54,256
2025-03-07,93.78,95.22,92.72,93.53,622
2025-03-08,93.13,94.59,92.84,93.58,490
2025-03-09,93.19,93.60,92.34,93.07,726
2025-03-10,92.58,93.62,92.12,92.93,501
2025-03-11,92.23,93.28,92.02,92.00,704
2025-03-12,92.25,92.52,91.79,92.27,998
2025-03-13,92.37,92.70,92.00,91.65,455
2025-03-14,91.52,91.76,90.69,90.89,843
2025-03-15,90.94,91.59,90.70,89.91,853
2025-03-16,89.03,90.63,88.39,88.24,439
2025-03-17,88.27,89.09,88.15,88.84,499
2025-03-18,89.63,91.33,89.08,90.41,813
2025-03-19,91.20,91.61,91.17,91.44,187
2025-03-20,91.42,91.62,90.60,91.73,179
2025-03-21,92.22,92.51,90.78,92.46,800
2025-03-22,92.38,93.40,90.86,91.52,442
2025-03-23,91.11,91.26,90.59,90.95,723
2025-03-24,91.28,91.41,90.76,91.60,672
2025-03-25,91.33,91.94,90.05,90.73,993
2025-03-26,90.52,90.66,90.50,89.67,331
2025-03-27,90.03,90.49,88.64,90.37,727
2025-03-28,90.20,90.35,87.63,90.11,510
2025-03-29,90.91,91.33,90.55,90.86,679
2025-03-30,91.22,91.47,90.27,91.70,149
2025-03-31,91.77,92.64,91.44,92.17,339
2025-04-01,92.21,93.60,91.82,92.25,525
2025-04-02,91.73,91.90,90.54,91.25,820
2025-04-03,91.08,91.17,91.04,91.35,312
2025-04-04,91.53,92.57,90.26,91.48,526
2025-04-05,91.25,91.30,90.11,90.68,520
2025-04-06,89.97,90.78,89.80,89.94,390
2025-04-07,89.71,91.51,89.45,89.13,442
2025-04-08,89.56,90.08,88.69,90.80,447
2025-04-09,91.85,91.98,90.95,91.69,732
2025-04-10,91.68,93.51,90.11,91.81,848
2025-04-11,91.24,91.63,88.95,91.63,761
2025-04-12,91.79,92.41,90.95,92.83,500
2025-04-13,92.68,93.79,92.34,93.00,821
2025-04-14,92.34,93.55,91.77,92.44,784
2025-04-15,91.56,91.59,91.50,92.36,115
2025-04-16,91.70,91.96,90.24,91.48,212
2025-04-17,91.60,92.34,91.19,90.81,370
2025-04-18,90.43,91.01,90.35,89.67,219
2025-04-19,89.50,89.62,88.86,89.28,922
2025-04-20,89.74,89.82,89.72,89.90,240
2025-04-21,90.07,90.32,88.57,90.04,900
2025-04-22,89.78,90.52,88.14,89.49,815
2025-04-23,89.81,90.59,88.67,90.07,938
2025-04-24,88.91,89.63,88.29,88.67,667
2025-04-25,88.43,88.74,88.26,88.06,547
2025-04-26,88.27,89.46,86.59,88.29,157
2025-04-27,88.71,88.90,87.04,88.70,225
2025-04-28,88.62,88.66,87.99,88.12,470
2025-04-29,88.14,88.75,87.83,89.37,465
2025-04-30,89.07,91.50,88.98,90.19,822
2025-05-01,90.70,91.56,90.53,89.40,914
2025-05-02,89.04,89.92,88.71,88.83,205
2025-05-03,88.78,89.00,88.13,89.18,348
2025-05-04,90.04,91.52,88.03,90.75,396
2025-05-05,90.98,92.58,90.61,90.91,953
2025-05-06,91.69,92.09,89.73,91.84,510
2025-05-07,92.17,93.41,91.45,91.67,621
2025-05-08,90.91,91.85,87.86,90.61,766
2025-05-09,90.72,91.43,89.57,91.08,289
2025-05-10,92.17,92.88,90.94,92.31,271
2025-05-11,92.72,93.63,92.72,92.42,900
2025-05-12,91.73,93.22,90.70,90.97,608
2025-05-13,91.32,91.34,91.31,92.28,831
2025-05-14,92.69,93.06,91.57,92.55,210
2025-05-15,92.57,92.87,91.82,92.49,772
2025-05-16,93.68,95.97,93.58,92.73,750
2025-05-17,92.02,92.75,91.99,92.15,819
2025-05-18,91.93,93.80,91.54,92.23,953
2025-05-19,91.82,92.01,91.11,91.01,952
2025-05-20,91.27,92.14,90.80,90.81,798
2025-05-21,90.79,91.83,90.45,90.76,175
2025-05-22,90.07,92.72,89.79,89.56,409
2025-05-23,89.18,89.84,87.08,89.84,453
2025-05-24,89.37,91.14,88.27,89.34,884
2025-05-25,89.57,89.60,88.34,89.18,529
2025-05-26,88.53,90.59,87.95,88.06,394
2025-05-27,88.44,88.65,86.74,88.58,435
2025-05-28,89.42,89.46,89.10,89.65,480
2025-05-29,90.15,90.91,89.80,90.65,649
2025-05-30,91.08,92.30,90.46,90.92,921
2025-05-31,90.22,91.03,90.19,89.92,144
2025-06-01,89.59,89.69,88.89,90.29,813
2025-06-02,89.57,90.02,88.40,88.83,843
2025-06-03,89.05,89.56,88.15,89.59,935
2025-06-04,89.71,90.11,88.98,90.57,331
2025-06-05,89.59,91.17,89.00,90.08,286
2025-06-06,89.46,90.20,88.21,89.68,837
